J-Date,Date,Adj Close
1380-01-18,2001-04-07,59
1380-01-19,2001-04-08,59
1380-01-20,2001-04-09,60
1380-01-21,2001-04-10,61
1380-01-22,2001-04-11,61
1380-01-25,2001-04-14,61
1380-01-26,2001-04-15,61
1380-01-27,2001-04-16,60
1380-01-28,2001-04-17,59
1380-01-29,2001-04-18,59
1380-02-01,2001-04-21,59
1380-02-02,2001-04-22,58
1380-02-03,2001-04-23,58
1380-02-04,2001-04-24,58
1380-02-05,2001-04-25,58
1380-02-08,2001-04-28,58
1380-02-09,2001-04-29,60
1380-02-10,2001-04-30,61
1380-02-11,2001-05-01,62
1380-02-12,2001-05-02,63
1380-02-15,2001-05-05,64
1380-02-16,2001-05-06,65
1380-02-17,2001-05-07,67
1380-02-18,2001-05-08,69
1380-02-19,2001-05-09,69
1380-02-22,2001-05-12,67
1380-02-23,2001-05-13,64
1380-02-25,2001-05-15,65
1380-02-26,2001-05-16,65
1380-02-29,2001-05-19,65
1380-02-30,2001-05-20,65
1380-02-31,2001-05-21,65
1380-03-02,2001-05-23,65
1380-03-05,2001-05-26,64
1380-03-06,2001-05-27,67
1380-03-07,2001-05-28,68
1380-03-08,2001-05-29,66
1380-03-09,2001-05-30,65
1380-03-12,2001-06-02,65
1380-03-13,2001-06-03,65
1380-03-16,2001-06-06,65
1380-03-19,2001-06-09,65
1380-03-21,2001-06-11,65
1380-03-22,2001-06-12,65
1380-03-23,2001-06-13,65
1380-03-26,2001-06-16,65
1380-03-27,2001-06-17,65
1380-03-28,2001-06-18,65
1380-03-29,2001-06-19,65
1380-03-30,2001-06-20,65
1380-04-02,2001-06-23,64
1380-04-03,2001-06-24,64
1380-04-04,2001-06-25,63
1380-04-05,2001-06-26,63
1380-04-06,2001-06-27,63
1380-04-09,2001-06-30,63
1380-04-10,2001-07-01,63
1380-04-11,2001-07-02,63
1380-04-12,2001-07-03,64
1380-04-13,2001-07-04,65
1380-04-16,2001-07-07,65
1380-04-17,2001-07-08,65
1380-04-18,2001-07-09,64
1380-04-19,2001-07-10,64
1380-04-20,2001-07-11,65
1380-04-23,2001-07-14,67
1380-04-24,2001-07-15,66
1380-04-25,2001-07-16,67
1380-04-26,2001-07-17,68
1380-04-27,2001-07-18,67
1380-04-30,2001-07-21,67
1380-04-31,2001-07-22,65
1380-05-01,2001-07-23,66
1380-05-02,2001-07-24,67
1380-05-03,2001-07-25,67
1380-05-06,2001-07-28,68
1380-05-07,2001-07-29,67
1380-05-08,2001-07-30,69
1380-05-09,2001-07-31,69
1380-05-10,2001-08-01,69
1380-05-13,2001-08-04,69
1380-05-14,2001-08-05,71
1380-05-15,2001-08-06,72
1380-05-16,2001-08-07,74
1380-05-17,2001-08-08,76
1380-05-20,2001-08-11,75
1380-05-21,2001-08-12,76
1380-05-22,2001-08-13,77
1380-05-23,2001-08-14,78
1380-05-24,2001-08-15,79
1380-05-27,2001-08-18,82
1380-05-28,2001-08-19,85
1380-05-29,2001-08-20,86
1380-05-30,2001-08-21,82
1380-05-31,2001-08-22,82
1380-06-03,2001-08-25,85
1380-06-04,2001-08-26,87
1380-06-05,2001-08-27,87
1380-06-06,2001-08-28,84
1380-06-07,2001-08-29,80
1380-06-10,2001-09-01,82
1380-06-11,2001-09-02,80
1380-06-12,2001-09-03,78
1380-06-13,2001-09-04,79
1380-06-14,2001-09-05,81
1380-06-17,2001-09-08,84
1380-06-18,2001-09-09,85
1380-06-19,2001-09-10,83
1380-06-20,2001-09-11,84
1380-06-21,2001-09-12,84
1380-06-24,2001-09-15,81
1380-06-25,2001-09-16,78
1380-06-26,2001-09-17,75
1380-06-27,2001-09-18,77
1380-06-28,2001-09-19,80
1380-06-31,2001-09-22,84
1380-07-01,2001-09-23,84
1380-07-02,2001-09-24,83
1380-07-03,2001-09-25,83
1380-07-04,2001-09-26,82
1380-07-07,2001-09-29,81
1380-07-08,2001-09-30,81
1380-07-10,2001-10-02,80
1380-07-11,2001-10-03,79
1380-07-14,2001-10-06,80
1380-07-15,2001-10-07,80
1380-07-16,2001-10-08,78
1380-07-17,2001-10-09,77
1380-07-18,2001-10-10,74
1380-07-21,2001-10-13,76
1380-07-22,2001-10-14,75
1380-07-24,2001-10-16,77
1380-07-25,2001-10-17,77
1380-07-28,2001-10-20,77
1380-07-29,2001-10-21,78
1380-07-30,2001-10-22,80
1380-08-01,2001-10-23,81
1380-08-02,2001-10-24,80
1380-08-05,2001-10-27,80
1380-08-06,2001-10-28,80
1380-08-07,2001-10-29,79
1380-08-08,2001-10-30,79
1380-08-09,2001-10-31,79
1380-08-12,2001-11-03,79
1380-08-13,2001-11-04,79
1380-08-14,2001-11-05,80
1380-08-15,2001-11-06,81
1380-08-16,2001-11-07,82
1380-08-19,2001-11-10,82
1380-08-20,2001-11-11,82
1380-08-21,2001-11-12,83
1380-08-22,2001-11-13,83
1380-08-23,2001-11-14,82
1380-08-26,2001-11-17,80
1380-08-27,2001-11-18,80
1380-08-28,2001-11-19,82
1380-08-29,2001-11-20,81
1380-08-30,2001-11-21,81
1380-09-03,2001-11-24,81
1380-09-04,2001-11-25,83
1380-09-05,2001-11-26,85
1380-09-06,2001-11-27,85
1380-09-07,2001-11-28,85
1380-09-10,2001-12-01,84
1380-09-11,2001-12-02,84
1380-09-12,2001-12-03,84
1380-09-13,2001-12-04,84
1380-09-14,2001-12-05,84
1380-09-17,2001-12-08,85
1380-09-18,2001-12-09,87
1380-09-19,2001-12-10,88
1380-09-20,2001-12-11,86
1380-09-21,2001-12-12,86
1380-09-24,2001-12-15,85
1380-09-26,2001-12-17,84
1380-09-27,2001-12-18,83
1380-09-28,2001-12-19,84
1380-10-01,2001-12-22,84
1380-10-02,2001-12-23,83
1380-10-03,2001-12-24,82
1380-10-04,2001-12-25,81
1380-10-05,2001-12-26,81
1380-10-08,2001-12-29,81
1380-10-09,2001-12-30,82
1380-10-10,2001-12-31,82
1380-10-11,2002-01-01,81
1380-10-12,2002-01-02,80
1380-10-15,2002-01-05,80
1380-10-16,2002-01-06,80
1380-10-17,2002-01-07,80
1380-10-18,2002-01-08,80
1380-10-22,2002-01-12,80
1380-10-23,2002-01-13,79
1380-10-24,2002-01-14,79
1380-10-25,2002-01-15,81
1380-10-26,2002-01-16,80
1380-10-29,2002-01-19,79
1380-10-30,2002-01-20,80
1380-11-01,2002-01-21,80
1380-11-02,2002-01-22,80
1380-11-03,2002-01-23,81
1380-11-06,2002-01-26,81
1380-11-07,2002-01-27,81
1380-11-08,2002-01-28,81
1380-11-09,2002-01-29,81
1380-11-10,2002-01-30,81
1380-11-13,2002-02-02,80
1380-11-14,2002-02-03,80
1380-11-15,2002-02-04,79
1380-11-16,2002-02-05,78
1380-11-17,2002-02-06,78
1380-11-20,2002-02-09,78
1380-11-21,2002-02-10,78
1380-11-23,2002-02-12,77
1380-11-24,2002-02-13,76
1380-11-27,2002-02-16,76
1380-11-28,2002-02-17,76
1380-11-29,2002-02-18,78
1380-11-30,2002-02-19,78
1380-12-01,2002-02-20,78
1380-12-05,2002-02-24,78
1380-12-06,2002-02-25,80
1380-12-07,2002-02-26,82
1380-12-08,2002-02-27,82
1380-12-11,2002-03-02,83
1380-12-13,2002-03-04,83
1380-12-14,2002-03-05,84
1380-12-28,2002-03-19,67
1381-01-06,2002-03-26,67
1381-01-07,2002-03-27,69
1381-01-10,2002-03-30,69
1381-01-11,2002-03-31,68
1381-01-14,2002-04-03,68
1381-01-17,2002-04-06,67
1381-01-18,2002-04-07,66
1381-01-19,2002-04-08,65
1381-01-20,2002-04-09,66
1381-01-21,2002-04-10,67
1381-01-24,2002-04-13,69
1381-01-25,2002-04-14,69
1381-01-26,2002-04-15,71
1381-01-27,2002-04-16,71
1381-01-28,2002-04-17,69
1381-01-31,2002-04-20,69
1381-02-01,2002-04-21,70
1381-02-02,2002-04-22,71
1381-02-03,2002-04-23,73
1381-02-04,2002-04-24,76
1381-02-07,2002-04-27,78
1381-02-08,2002-04-28,75
1381-02-09,2002-04-29,74
1381-02-10,2002-04-30,73
1381-02-11,2002-05-01,72
1381-02-14,2002-05-04,71
1381-02-15,2002-05-05,71
1381-02-16,2002-05-06,71
1381-02-17,2002-05-07,70
1381-02-18,2002-05-08,72
1381-02-22,2002-05-12,72
1381-02-24,2002-05-14,71
1381-02-25,2002-05-15,71
1381-02-28,2002-05-18,70
1381-02-29,2002-05-19,69
