J-Date,Date,Adj Close
1381-02-30,2002-05-20,71
1381-02-31,2002-05-21,70
1381-03-01,2002-05-22,70
1381-03-04,2002-05-25,70
1381-03-05,2002-05-26,68
1381-03-06,2002-05-27,69
1381-03-07,2002-05-28,69
1381-03-08,2002-05-29,69
1381-03-11,2002-06-01,69
1381-03-12,2002-06-02,70
1381-03-13,2002-06-03,71
1381-03-18,2002-06-08,71
1381-03-19,2002-06-09,71
1381-03-20,2002-06-10,71
1381-03-21,2002-06-11,71
1381-03-22,2002-06-12,70
1381-03-25,2002-06-15,71
1381-03-26,2002-06-16,73
1381-03-27,2002-06-17,73
1381-03-28,2002-06-18,73
1381-03-29,2002-06-19,73
1381-04-01,2002-06-22,74
1381-04-02,2002-06-23,73
1381-04-03,2002-06-24,72
1381-04-04,2002-06-25,73
1381-04-05,2002-06-26,75
1381-04-08,2002-06-29,76
1381-04-09,2002-06-30,76
1381-04-10,2002-07-01,75
1381-04-11,2002-07-02,75
1381-04-12,2002-07-03,75
1381-04-15,2002-07-06,76
1381-04-16,2002-07-07,80
1381-04-17,2002-07-08,79
1381-04-18,2002-07-09,78
1381-04-19,2002-07-10,82
1381-04-22,2002-07-13,87
1381-04-23,2002-07-14,87
1381-04-24,2002-07-15,86
1381-04-25,2002-07-16,87
1381-04-26,2002-07-17,88
1381-04-29,2002-07-20,88
1381-04-30,2002-07-21,88
1381-04-31,2002-07-22,88
1381-05-01,2002-07-23,88
1381-05-02,2002-07-24,86
1381-05-05,2002-07-27,84
1381-05-06,2002-07-28,82
1381-05-07,2002-07-29,82
1381-05-08,2002-07-30,83
1381-05-09,2002-07-31,83
1381-05-12,2002-08-03,82
1381-05-13,2002-08-04,83
1381-05-14,2002-08-05,83
1381-05-15,2002-08-06,84
1381-05-16,2002-08-07,83
1381-05-19,2002-08-10,82
1381-05-20,2002-08-11,82
1381-05-22,2002-08-13,83
1381-05-23,2002-08-14,83
1381-05-26,2002-08-17,83
1381-05-27,2002-08-18,83
1381-05-28,2002-08-19,83
1381-05-29,2002-08-20,87
1381-05-30,2002-08-21,91
1381-06-02,2002-08-24,93
1381-06-06,2002-08-28,97
1381-06-09,2002-08-31,96
1381-06-10,2002-09-01,96
1381-06-11,2002-09-02,95
1381-06-12,2002-09-03,95
1381-06-13,2002-09-04,94
1381-06-16,2002-09-07,97
1381-06-17,2002-09-08,95
1381-06-18,2002-09-09,93
1381-06-19,2002-09-10,94
1381-06-20,2002-09-11,97
1381-06-23,2002-09-14,96
1381-06-24,2002-09-15,97
1381-06-25,2002-09-16,96
1381-06-26,2002-09-17,97
1381-06-27,2002-09-18,97
1381-06-31,2002-09-22,97
1381-07-01,2002-09-23,96
1381-07-02,2002-09-24,95
1381-07-03,2002-09-25,94
1381-07-06,2002-09-28,94
1381-07-07,2002-09-29,94
1381-07-08,2002-09-30,94
1381-07-09,2002-10-01,93
1381-07-10,2002-10-02,93
1381-07-14,2002-10-06,93
1381-07-15,2002-10-07,91
1381-07-16,2002-10-08,89
1381-07-17,2002-10-09,89
1381-07-20,2002-10-12,88
1381-07-21,2002-10-13,87
1381-07-22,2002-10-14,88
1381-07-23,2002-10-15,87
1381-07-24,2002-10-16,88
1381-07-27,2002-10-19,92
1381-07-28,2002-10-20,92
1381-07-29,2002-10-21,92
1381-08-01,2002-10-23,92
1381-08-04,2002-10-26,93
1381-08-05,2002-10-27,95
1381-08-06,2002-10-28,100
1381-08-07,2002-10-29,97
1381-08-08,2002-10-30,99
1381-08-11,2002-11-02,101
1381-08-18,2002-11-09,107
1381-08-19,2002-11-10,109
1381-08-20,2002-11-11,111
1381-08-21,2002-11-12,109
1381-08-22,2002-11-13,106
1381-08-25,2002-11-16,108
1381-08-26,2002-11-17,107
1381-08-27,2002-11-18,106
1381-08-28,2002-11-19,106
1381-08-29,2002-11-20,105
1381-09-02,2002-11-23,104
1381-09-03,2002-11-24,104
1381-09-04,2002-11-25,104
1381-09-05,2002-11-26,105
1381-09-09,2002-11-30,105
1381-09-10,2002-12-01,105
1381-09-11,2002-12-02,104
1381-09-12,2002-12-03,103
1381-09-13,2002-12-04,103
1381-09-16,2002-12-07,103
1381-09-17,2002-12-08,103
1381-09-18,2002-12-09,104
1381-09-19,2002-12-10,104
1381-09-20,2002-12-11,104
1381-09-23,2002-12-14,103
1381-09-24,2002-12-15,102
1381-09-25,2002-12-16,102
1381-09-26,2002-12-17,106
1381-09-27,2002-12-18,105
1381-10-02,2002-12-23,104
1381-10-03,2002-12-24,106
1381-10-04,2002-12-25,106
1381-10-07,2002-12-28,105
1381-10-08,2002-12-29,104
1381-10-10,2002-12-31,104
1381-10-11,2003-01-01,104
1381-10-14,2003-01-04,105
1381-10-15,2003-01-05,105
1381-10-16,2003-01-06,104
1381-10-17,2003-01-07,105
1381-10-18,2003-01-08,105
1381-10-21,2003-01-11,106
1381-10-22,2003-01-12,106
1381-10-23,2003-01-13,108
1381-10-24,2003-01-14,109
1381-10-25,2003-01-15,111
1381-10-28,2003-01-18,111
1381-10-29,2003-01-19,109
1381-10-30,2003-01-20,109
1381-11-01,2003-01-21,108
1381-11-02,2003-01-22,108
1381-11-05,2003-01-25,107
1381-11-06,2003-01-26,105
1381-11-07,2003-01-27,105
1381-11-08,2003-01-28,104
1381-11-09,2003-01-29,104
1381-11-12,2003-02-01,104
1381-11-13,2003-02-02,104
1381-11-14,2003-02-03,105
1381-11-15,2003-02-04,107
1381-11-16,2003-02-05,105
1381-11-19,2003-02-08,105
1381-11-20,2003-02-09,103
1381-11-21,2003-02-10,101
1381-11-26,2003-02-15,101
1381-11-27,2003-02-16,103
1381-11-28,2003-02-17,105
1381-11-29,2003-02-18,105
1381-11-30,2003-02-19,105
1381-12-03,2003-02-22,105
1381-12-04,2003-02-23,103
1381-12-05,2003-02-24,103
1381-12-06,2003-02-25,102
1381-12-07,2003-02-26,102
1381-12-10,2003-03-01,102
1381-12-11,2003-03-02,102
1381-12-12,2003-03-03,101
1381-12-13,2003-03-04,100
1381-12-14,2003-03-05,97
1381-12-27,2003-03-18,89
1381-12-28,2003-03-19,89
1382-01-06,2003-03-26,89
1382-01-09,2003-03-29,86
1382-01-10,2003-03-30,89
1382-01-11,2003-03-31,89
1382-01-16,2003-04-05,89
1382-01-17,2003-04-06,91
1382-01-18,2003-04-07,94
1382-01-19,2003-04-08,97
1382-01-20,2003-04-09,92
1382-01-23,2003-04-12,92
1382-01-24,2003-04-13,91
1382-01-25,2003-04-14,89
1382-01-26,2003-04-15,87
1382-01-27,2003-04-16,88
1382-01-30,2003-04-19,89
1382-01-31,2003-04-20,89
1382-02-01,2003-04-21,89
1382-02-02,2003-04-22,88
1382-02-06,2003-04-26,89
1382-02-07,2003-04-27,89
1382-02-08,2003-04-28,89
1382-02-09,2003-04-29,91
1382-02-10,2003-04-30,91
1382-02-13,2003-05-03,90
1382-02-14,2003-05-04,89
1382-02-15,2003-05-05,89
1382-02-16,2003-05-06,88
1382-02-17,2003-05-07,89
1382-02-20,2003-05-10,93
1382-02-21,2003-05-11,96
1382-02-22,2003-05-12,94
1382-02-23,2003-05-13,92
1382-02-24,2003-05-14,91
1382-02-27,2003-05-17,91
1382-02-28,2003-05-18,91
1382-02-30,2003-05-20,89
1382-02-31,2003-05-21,91
1382-03-03,2003-05-24,93
1382-03-04,2003-05-25,95
1382-03-05,2003-05-26,100
1382-03-06,2003-05-27,98
1382-03-07,2003-05-28,97
1382-03-10,2003-05-31,97
1382-03-11,2003-06-01,95
1382-03-12,2003-06-02,95
1382-03-13,2003-06-03,97
1382-03-17,2003-06-07,95
1382-03-18,2003-06-08,97
1382-03-19,2003-06-09,98
1382-03-20,2003-06-10,96
1382-03-21,2003-06-11,95
1382-03-24,2003-06-14,94
1382-03-25,2003-06-15,90
1382-03-26,2003-06-16,94
1382-03-27,2003-06-17,95
1382-03-28,2003-06-18,96
1382-03-31,2003-06-21,99
1382-04-01,2003-06-22,99
1382-04-02,2003-06-23,97
1382-04-03,2003-06-24,98
1382-04-04,2003-06-25,99
1382-04-07,2003-06-28,102
1382-04-08,2003-06-29,107
1382-04-09,2003-06-30,112
1382-04-10,2003-07-01,109
1382-04-11,2003-07-02,113
1382-04-14,2003-07-05,119
1382-04-15,2003-07-06,125
1382-04-16,2003-07-07,126
1382-04-17,2003-07-08,132
1382-04-18,2003-07-09,133
1382-04-21,2003-07-12,132
1382-04-22,2003-07-13,132
1382-04-23,2003-07-14,132
1382-04-24,2003-07-15,136
1382-05-01,2003-07-23,143
1382-05-04,2003-07-26,150
1382-05-05,2003-07-27,155
1382-05-06,2003-07-28,163
1382-05-07,2003-07-29,170
1382-05-08,2003-07-30,165
1382-05-12,2003-08-03,158
1382-05-13,2003-08-04,152
1382-05-14,2003-08-05,141
1382-05-15,2003-08-06,136
1382-05-18,2003-08-09,148
1382-05-19,2003-08-10,142
1382-05-20,2003-08-11,142
1382-05-21,2003-08-12,144
1382-05-22,2003-08-13,149
1382-05-25,2003-08-16,150
1382-05-26,2003-08-17,148
1382-05-27,2003-08-18,147
1382-05-28,2003-08-19,150
1382-05-29,2003-08-20,150
1382-06-01,2003-08-23,150
1382-06-02,2003-08-24,150
1382-06-03,2003-08-25,150
1382-06-04,2003-08-26,150
1382-06-05,2003-08-27,150
1382-06-08,2003-08-30,150
1382-06-09,2003-08-31,150
1382-06-10,2003-09-01,157
1382-06-11,2003-09-02,157
1382-06-12,2003-09-03,157
1382-06-15,2003-09-06,157
1382-06-16,2003-09-07,149
1382-06-17,2003-09-08,150
1382-06-18,2003-09-09,150
1382-06-22,2003-09-13,145
1382-06-23,2003-09-14,145
1382-06-24,2003-09-15,145
1382-06-25,2003-09-16,140
1382-06-26,2003-09-17,140
1382-06-29,2003-09-20,141
1382-06-30,2003-09-21,140
1382-06-31,2003-09-22,140
1382-07-01,2003-09-23,140
1382-07-05,2003-09-27,140
1382-07-06,2003-09-28,139
1382-07-07,2003-09-29,135
1382-07-08,2003-09-30,134
1382-07-09,2003-10-01,133
1382-07-12,2003-10-04,132
1382-07-13,2003-10-05,133
1382-07-14,2003-10-06,134
1382-07-15,2003-10-07,140
1382-07-16,2003-10-08,139
1382-07-19,2003-10-11,139
1382-07-21,2003-10-13,138
1382-07-22,2003-10-14,138
1382-07-23,2003-10-15,132
1382-07-26,2003-10-18,133
1382-07-27,2003-10-19,130
1382-07-28,2003-10-20,130
1382-07-29,2003-10-21,133
1382-07-30,2003-10-22,138
1382-08-03,2003-10-25,139
1382-08-04,2003-10-26,142
1382-08-05,2003-10-27,143
1382-08-06,2003-10-28,144
1382-08-07,2003-10-29,151
1382-08-10,2003-11-01,154
1382-08-11,2003-11-02,162
1382-08-12,2003-11-03,165
1382-08-13,2003-11-04,166
1382-08-14,2003-11-05,162
1382-08-17,2003-11-08,162
1382-08-18,2003-11-09,162
1382-08-19,2003-11-10,162
1382-08-20,2003-11-11,163
1382-08-21,2003-11-12,164
1382-08-24,2003-11-15,163
1382-08-26,2003-11-17,163
1382-08-27,2003-11-18,162
1382-08-28,2003-11-19,163
1382-09-01,2003-11-22,166
1382-09-02,2003-11-23,167
1382-09-03,2003-11-24,169
1382-09-04,2003-11-25,171
1382-09-08,2003-11-29,172
1382-09-09,2003-11-30,180
1382-09-10,2003-12-01,182
1382-09-11,2003-12-02,184
1382-09-12,2003-12-03,185
1382-09-15,2003-12-06,181
1382-09-16,2003-12-07,179
1382-09-17,2003-12-08,178
1382-09-18,2003-12-09,182
1382-09-19,2003-12-10,181
1382-09-22,2003-12-13,182
1382-09-23,2003-12-14,185
1382-09-24,2003-12-15,184
1382-09-25,2003-12-16,183
1382-09-26,2003-12-17,182
1382-09-30,2003-12-21,181
1382-10-01,2003-12-22,180
1382-10-02,2003-12-23,179
1382-10-03,2003-12-24,178
1382-10-06,2003-12-27,175
1382-10-07,2003-12-28,176
1382-10-08,2003-12-29,177
1382-10-09,2003-12-30,186
1382-10-10,2003-12-31,189
1382-10-13,2004-01-03,192
1382-10-14,2004-01-04,192
1382-10-15,2004-01-05,192
1382-10-16,2004-01-06,200
1382-10-17,2004-01-07,209
1382-10-20,2004-01-10,205
1382-10-21,2004-01-11,196
1382-10-22,2004-01-12,193
1382-10-23,2004-01-13,193
1382-10-24,2004-01-14,193
1382-10-27,2004-01-17,194
1382-10-28,2004-01-18,193
1382-10-29,2004-01-19,193
1382-10-30,2004-01-20,193
1382-11-01,2004-01-21,194
1382-11-04,2004-01-24,196
1382-11-05,2004-01-25,196
1382-11-06,2004-01-26,193
1382-11-07,2004-01-27,187
1382-11-11,2004-01-31,187
1382-11-12,2004-02-01,186
1382-11-14,2004-02-03,177
1382-11-15,2004-02-04,173
1382-11-18,2004-02-07,172
1382-11-19,2004-02-08,173
1382-11-20,2004-02-09,173
1382-11-25,2004-02-14,174
1382-11-26,2004-02-15,173
1382-11-27,2004-02-16,172
1382-11-28,2004-02-17,172
1382-11-29,2004-02-18,174
1382-12-02,2004-02-21,175
1382-12-03,2004-02-22,177
1382-12-04,2004-02-23,181
1382-12-05,2004-02-24,184
1382-12-06,2004-02-25,185
1382-12-09,2004-02-28,194
1382-12-10,2004-02-29,200
1382-12-13,2004-03-03,198
1382-12-16,2004-03-06,198
1382-12-17,2004-03-07,196
1382-12-18,2004-03-08,197
1382-12-19,2004-03-09,195
1382-12-20,2004-03-10,196
1383-01-11,2004-03-30,188
1383-01-15,2004-04-03,187
1383-01-16,2004-04-04,185
1383-01-17,2004-04-05,183
1383-01-18,2004-04-06,181
1383-01-19,2004-04-07,179
1383-01-22,2004-04-10,178
1383-01-24,2004-04-12,179
1383-01-25,2004-04-13,176
1383-01-26,2004-04-14,179
1383-01-29,2004-04-17,179
1383-01-30,2004-04-18,181
1383-02-02,2004-04-21,182
1383-02-05,2004-04-24,186
1383-02-06,2004-04-25,187
1383-02-07,2004-04-26,187
1383-02-08,2004-04-27,186
1383-02-09,2004-04-28,184
1383-02-12,2004-05-01,183
1383-02-13,2004-05-02,182
1383-02-14,2004-05-03,181
1383-02-15,2004-05-04,182
1383-02-16,2004-05-05,191
1383-02-19,2004-05-08,200
1383-02-20,2004-05-09,205
1383-02-21,2004-05-10,202
1383-02-22,2004-05-11,198
1383-02-23,2004-05-12,198
1383-02-26,2004-05-15,197
1383-02-27,2004-05-16,196
1383-02-28,2004-05-17,192
1383-02-29,2004-05-18,190
1383-02-30,2004-05-19,197
1383-03-02,2004-05-22,201
1383-03-03,2004-05-23,202
1383-03-04,2004-05-24,202
1383-03-05,2004-05-25,203
1383-03-06,2004-05-26,206
1383-03-09,2004-05-29,203
1383-03-10,2004-05-30,203
1383-03-11,2004-05-31,203
1383-03-12,2004-06-01,203
1383-03-13,2004-06-02,205
1383-03-16,2004-06-05,205
1383-03-17,2004-06-06,207
1383-03-18,2004-06-07,219
1383-03-19,2004-06-08,229
1383-03-20,2004-06-09,230
1383-03-23,2004-06-12,225
1383-03-24,2004-06-13,222
1383-03-25,2004-06-14,219
1383-03-26,2004-06-15,219
1383-03-27,2004-06-16,224
1383-03-30,2004-06-19,229
1383-03-31,2004-06-20,229
1383-04-01,2004-06-21,229
1383-04-02,2004-06-22,228
1383-04-03,2004-06-23,234
1383-04-06,2004-06-26,241
1383-04-07,2004-06-27,253
1383-04-08,2004-06-28,260
1383-04-09,2004-06-29,258
1383-04-10,2004-06-30,256
1383-04-13,2004-07-03,255
1383-04-14,2004-07-04,255
1383-04-15,2004-07-05,256
1383-04-16,2004-07-06,267
1383-04-17,2004-07-07,280
1383-04-20,2004-07-10,294
1383-04-21,2004-07-11,308
1383-04-22,2004-07-12,314
1383-04-23,2004-07-13,309
1383-04-24,2004-07-14,315
1383-04-27,2004-07-17,328
1383-04-28,2004-07-18,329
1383-04-29,2004-07-19,321
1383-05-05,2004-07-26,309
1383-05-06,2004-07-27,295
1383-05-07,2004-07-28,293
1383-05-10,2004-07-31,304
1383-05-11,2004-08-01,313
1383-05-12,2004-08-02,317
1383-05-13,2004-08-03,315
1383-05-14,2004-08-04,316
1383-05-17,2004-08-07,312
1383-05-18,2004-08-08,299
1383-05-19,2004-08-09,297
1383-05-20,2004-08-10,295
1383-05-21,2004-08-11,290
1383-05-24,2004-08-14,284
1383-05-25,2004-08-15,271
1383-05-26,2004-08-16,272
1383-05-27,2004-08-17,277
1383-05-28,2004-08-18,281
1383-05-31,2004-08-21,288
1383-06-01,2004-08-22,303
1383-06-02,2004-08-23,303
1383-06-03,2004-08-24,303
1383-06-04,2004-08-25,304
1383-06-07,2004-08-28,305
1383-06-08,2004-08-29,310
1383-06-10,2004-08-31,320
1383-06-11,2004-09-01,321
1383-06-14,2004-09-04,327
1383-06-15,2004-09-05,336
1383-06-16,2004-09-06,332
1383-06-17,2004-09-07,323
1383-06-18,2004-09-08,322
1383-06-24,2004-09-14,322
1383-06-31,2004-09-21,326
1383-07-01,2004-09-22,330
1383-07-04,2004-09-25,334
1383-07-05,2004-09-26,339
1383-07-06,2004-09-27,339
1383-07-07,2004-09-28,336
1383-07-08,2004-09-29,332
1383-07-11,2004-10-02,329
1383-07-12,2004-10-03,326
1383-07-13,2004-10-04,322
1383-07-14,2004-10-05,321
1383-07-15,2004-10-06,319
1383-07-18,2004-10-09,320
1383-07-19,2004-10-10,320
1383-07-29,2004-10-20,316
1383-08-02,2004-10-23,318
1383-08-03,2004-10-24,321
1383-08-04,2004-10-25,320
1383-08-05,2004-10-26,319
1383-08-06,2004-10-27,317
1383-08-09,2004-10-30,314
1383-08-10,2004-10-31,313
1383-08-11,2004-11-01,308
1383-08-12,2004-11-02,307
1383-08-13,2004-11-03,307
1383-08-16,2004-11-06,308
1383-08-17,2004-11-07,310
1383-08-18,2004-11-08,312
1383-08-19,2004-11-09,314
1383-08-20,2004-11-10,316
1383-08-23,2004-11-13,316
1383-08-25,2004-11-15,316
1383-08-26,2004-11-16,318
1383-08-27,2004-11-17,319
1383-08-30,2004-11-20,317
1383-09-01,2004-11-21,317
1383-09-02,2004-11-22,314
1383-09-03,2004-11-23,314
1383-09-04,2004-11-24,314
1383-09-07,2004-11-27,315
1383-09-08,2004-11-28,315
1383-09-09,2004-11-29,326
1383-09-10,2004-11-30,331
1383-09-11,2004-12-01,340
1383-09-14,2004-12-04,343
1383-09-15,2004-12-05,337
1383-09-16,2004-12-06,335
1383-09-17,2004-12-07,333
1383-09-21,2004-12-11,332
1383-09-22,2004-12-12,332
1383-09-23,2004-12-13,331
1383-09-24,2004-12-14,328
1383-09-25,2004-12-15,327
1383-09-28,2004-12-18,326
1383-09-29,2004-12-19,326
1383-09-30,2004-12-20,325
1383-10-01,2004-12-21,324
1383-10-02,2004-12-22,323
1383-10-05,2004-12-25,319
1383-10-06,2004-12-26,317
1383-10-07,2004-12-27,317
1383-10-08,2004-12-28,317
1383-10-09,2004-12-29,318
1383-10-12,2005-01-01,319
1383-10-13,2005-01-02,319
1383-10-14,2005-01-03,319
1383-10-15,2005-01-04,318
1383-10-16,2005-01-05,317
1383-10-19,2005-01-08,316
1383-10-20,2005-01-09,315
1383-10-21,2005-01-10,312
1383-10-22,2005-01-11,310
1383-10-23,2005-01-12,308
1383-10-26,2005-01-15,306
1383-10-27,2005-01-16,305
1383-10-28,2005-01-17,301
1383-10-29,2005-01-18,295
1383-10-30,2005-01-19,292
1383-11-03,2005-01-22,291
1383-11-04,2005-01-23,290
1383-11-05,2005-01-24,290
1383-11-06,2005-01-25,289
