"","","","Loss","VaRGld","VaRNor"
"35","1396-11-02","2018-01-22","-0.413921080447821","0.570799901288753","0.556202801617525"
"36","1396-11-03","2018-01-23","-0.602772264339535","0.572723420565411","0.555250358965949"
"37","1396-11-04","2018-01-24","-0.299275482145056","0.569580605227356","0.555736943885479"
"38","1396-11-07","2018-01-27","0.16754027499335","0.57233451423408","0.552356270549607"
"39","1396-11-08","2018-01-28","-0.0593650970797555","0.571992549855575","0.557537544196771"
"40","1396-11-09","2018-01-29","0.371257995940333","0.571060913218651","0.55972281453991"
"41","1396-11-10","2018-01-30","0.494222020836332","0.586247997421841","0.568390073853167"
"42","1396-11-11","2018-01-31","0.431438155277597","0.604498418223826","0.582613001018171"
"43","1396-11-14","2018-02-03","0.423483022422211","0.62382995812759","0.590765487805375"
"44","1396-11-15","2018-02-04","-0.0913429366589114","0.63136617785045","0.601900217963447"
"45","1396-11-16","2018-02-05","-0.230186129529919","0.631358895509141","0.603716419702768"
"46","1396-11-17","2018-02-06","0.108184802423494","0.634190929542862","0.600097124022834"
"47","1396-11-18","2018-02-07","-0.379356629830419","0.612967476088407","0.589945519673616"
"48","1396-11-21","2018-02-10","0.527330548840688","0.61307205049193","0.588466884069128"
"49","1396-11-23","2018-02-12","-0.14511462000808","0.635183566348212","0.602819212404812"
"50","1396-11-24","2018-02-13","-0.182218917112031","0.639215092850301","0.601921408465808"
"51","1396-11-25","2018-02-14","-0.249018714467297","0.658589554340055","0.601992739811711"
"52","1396-11-28","2018-02-17","-0.0830379537239523","0.635722906835854","0.602162407291492"
"53","1396-11-29","2018-02-18","0.119954553646373","0.636204098241474","0.603732299747724"
"54","1396-11-30","2018-02-19","0.166038841953942","0.642580887901752","0.600587936224297"
"55","1396-12-02","2018-02-21","-0.00896560367120713","0.511483553187197","0.605838235821107"
"56","1396-12-05","2018-02-24","-0.0199659560740528","0.510702790044009","0.605130990377285"
"57","1396-12-06","2018-02-25","0.0985442135091219","0.638995711509953","0.600284742449299"
"58","1396-12-07","2018-02-26","-0.0186564597003169","0.639361582828786","0.600540283203286"
"59","1396-12-08","2018-02-27","-0.00234455474625861","0.638465412877851","0.601845613874918"
"60","1396-12-09","2018-02-28","0.141893552656391","0.63386997148125","0.604094668676695"
"61","1396-12-12","2018-03-03","0.586639846447845","0.623939175030023","0.599151913311024"
"62","1396-12-13","2018-03-04","0.0353286129492147","0.652026628650602","0.610369693324948"
"63","1396-12-14","2018-03-05","0.176521826537446","0.649860351429568","0.611986086143732"
"64","1396-12-15","2018-03-06","0.197349240252009","0.638239772841221","0.605883098722213"
"65","1396-12-16","2018-03-07","0.134845646951653","0.610386124361404","0.59453578949446"
"66","1396-12-19","2018-03-10","0.274793044429344","0.605138440429229","0.597535708112536"
"67","1396-12-20","2018-03-11","0.587782272864423","0.608196918755545","0.604489922325237"
"68","1396-12-21","2018-03-12","-0.172716286794383","0.635082538988658","0.619060450742982"
"69","1396-12-22","2018-03-13","-0.124358161251337","0.514746611894398","0.618997757022844"
"70","1396-12-23","2018-03-14","0.821731062561604","0.514571228532156","0.619257016852197"
"71","1396-12-26","2018-03-17","-0.0537929257484748","0.687370660414378","0.644489300543253"
"72","1396-12-27","2018-03-18","-0.253191278897624","0.687598696193361","0.644786486607571"
"73","1396-12-28","2018-03-19","-0.489617576979029","0.689347566165945","0.643935967451773"
"74","1397-01-05","2018-03-25","-0.141140500754844","0.690829911501216","0.641473490395763"
"75","1397-01-06","2018-03-26","-0.0661429167220007","0.548630709658551","0.64065450959235"
"76","1397-01-07","2018-03-27","-0.110727701470559","0.693577857619597","0.637355581131696"
"77","1397-01-08","2018-03-28","-0.353630763792268","0.691834855818742","0.638130849600654"
"78","1397-01-14","2018-04-03","-0.151836211021461","0.693595375520749","0.636993840053192"
"79","1397-01-15","2018-04-04","-0.0663108830774917","0.692876607402787","0.637887045207737"
"80","1397-01-18","2018-04-07","0.38230276702329","0.540453703391595","0.639028701737651"
"81","1397-01-19","2018-04-08","0.454223781045648","0.552274278763551","0.64745802427491"
"82","1397-01-20","2018-04-09","-0.805847785355951","0.565529146750223","0.658818589537944"
"83","1397-01-21","2018-04-10","0.384487500186559","0.568894714226843","0.661752778590877"
"84","1397-01-22","2018-04-11","0.477634497803159","0.579300580003464","0.669594670054038"
"85","1397-01-26","2018-04-15","0.311534022690729","0.593235587995713","0.680079969271825"
"86","1397-01-27","2018-04-16","0.502680781131559","0.599198629732208","0.684691721711082"
"87","1397-01-28","2018-04-17","-0.0172748731118944","0.613050776113486","0.695753836866345"
"88","1397-01-29","2018-04-18","-0.00115155210895779","0.613040357457056","0.695742027033193"
"89","1397-02-01","2018-04-21","0.270455158209693","0.61211626462414","0.694062482709566"
"90","1397-02-02","2018-04-22","0.813242256069913","0.616242870876854","0.697868883135078"
"91","1397-02-03","2018-04-23","0.206256955633854","0.646318455264197","0.719854743400798"
"92","1397-02-04","2018-04-24","-0.293102873066786","0.647880515382607","0.724306856057149"
"93","1397-02-05","2018-04-25","-0.232135304514003","0.664349220543225","0.722940939555786"
"94","1397-02-08","2018-04-28","0.541252270016379","0.664365685005713","0.722900677101742"
"95","1397-02-09","2018-04-29","0.509225678641734","0.67831936690354","0.734844814923035"
"96","1397-02-10","2018-04-30","0.233307326399057","0.688821797052395","0.746136745992926"
"97","1397-02-11","2018-05-01","-0.026923220906383","0.669310515721902","0.750146465457361"
"98","1397-02-15","2018-05-05","0.547901968733022","0.678491964443948","0.737050398834673"
"99","1397-02-16","2018-05-06","0.269641815317812","0.691955463525311","0.749428730076466"
"100","1397-02-17","2018-05-07","-0.339756412065206","0.677644316317196","0.752872010814375"
"101","1397-02-18","2018-05-08","-0.471057246284623","0.680007979078288","0.749979263241482"
"102","1397-02-19","2018-05-09","-0.0910853365938991","0.681887085033534","0.750079401954499"
"103","1397-02-22","2018-05-12","-0.213239929786013","0.677210021790151","0.742850961312536"
"104","1397-02-23","2018-05-13","-0.292145829670076","0.678793034636324","0.741177051637372"
"105","1397-02-24","2018-05-14","-0.569284406243931","0.679799904653544","0.740837066121915"
"106","1397-02-25","2018-05-15","-0.213597199071991","0.687447339698369","0.740903595730294"
"107","1397-02-26","2018-05-16","-0.0361345325222473","0.686986287718246","0.739780123860696"
"108","1397-02-29","2018-05-19","-0.171434657150904","0.686662753365652","0.741079203448357"
"109","1397-02-30","2018-05-20","-0.0350085027978508","0.675001472615173","0.728749261548324"
"110","1397-02-31","2018-05-21","-0.0956064198462059","0.670800517316526","0.727037007695973"
"111","1397-03-01","2018-05-22","-0.00262526036038935","0.670063153347043","0.726212329201529"
"112","1397-03-02","2018-05-23","-0.225619723672033","0.670028491955765","0.726185373514796"
"113","1397-03-05","2018-05-26","-0.364988718241221","0.775101282400244","0.703352912242016"
"114","1397-03-06","2018-05-27","0.175530292691839","0.686094126138713","0.69209490828938"
"115","1397-03-07","2018-05-28","0.100860250154433","0.686576157180066","0.69281260173531"
"116","1397-03-08","2018-05-29","0.125694478450811","0.685866962615467","0.694852251898776"
"117","1397-03-09","2018-05-30","-0.175928065682918","0.686031999330936","0.69539399214175"
"118","1397-03-12","2018-06-02","-0.390854125871343","0.689060781210679","0.671187084854487"
"119","1397-03-13","2018-06-03","-0.0488667151861577","0.694034735069661","0.666550760867357"
"120","1397-03-19","2018-06-09","-0.081530274581354","0.69439231272059","0.659002950198894"
"121","1397-03-20","2018-06-10","0.167922828310907","0.693563326116557","0.655701421294699"
"122","1397-03-21","2018-06-11","0.0714422445938112","0.691707270664115","0.654102708701"
"123","1397-03-22","2018-06-12","-0.552787943916577","0.669107252722645","0.638189860154097"
"124","1397-03-23","2018-06-13","-2.83103056166745","0.579672802347855","0.558827578552636"
"125","1397-03-27","2018-06-17","-3.28027720096991","0.561311078117564","0.690789687281958"
"126","1397-03-28","2018-06-18","-2.01092937226104","0.549492100397996","0.830376118637674"
"127","1397-03-29","2018-06-19","-1.86758878664186","0.542463956204937","0.859592248108236"
"128","1397-03-30","2018-06-20","-2.19976647510904","0.540844013694195","0.887179041246747"
"129","1397-04-02","2018-06-23","-0.484254016881636","0.541439046504361","0.922156111557328"
"130","1397-04-03","2018-06-24","-2.40223560169692","0.543429291355627","0.920142569646619"
"131","1397-04-04","2018-06-25","-2.74023265947534","0.542714436850617","0.956832553500388"
"132","1397-04-05","2018-06-26","1.44015095838377","0.544180047985472","1.00721370304434"
"133","1397-04-06","2018-06-27","1.9594805344342","0.608694749528031","1.05282190712769"
"134","1397-04-09","2018-06-30","-0.18254190563276","0.695161805774327","1.12236602924826"
"135","1397-04-10","2018-07-01","2.57399588956417","0.691587339239922","1.12384057831715"
"136","1397-04-11","2018-07-02","-1.13708692350496","0.795840101878568","1.22547734914882"
"137","1397-04-12","2018-07-03","-2.16794614378788","0.800501365879954","1.22790041518354"
"138","1397-04-13","2018-07-04","-0.127648330662389","0.809550749056285","1.2466632583288"
"139","1397-04-16","2018-07-07","1.28693706437328","0.792030780206094","1.23446978463308"
"140","1397-04-17","2018-07-08","0.180439249868769","0.83648708076362","1.26899307446296"
"141","1397-04-19","2018-07-10","0.00216508405035398","0.834156625262378","1.27502287195766"
"142","1397-04-20","2018-07-11","1.21977913073863","0.831678933214362","1.27767222285116"
"143","1397-04-23","2018-07-14","0.538867176714142","0.873219733846983","1.30355247058613"
"144","1397-04-24","2018-07-15","0.778200415659569","0.887477102256036","1.31301604512276"
"145","1397-04-25","2018-07-16","-0.0348779713993608","0.903593002473719","1.32196049758467"
"146","1397-04-26","2018-07-17","0.305154791929674","0.89083978927023","1.31374475441493"
"147","1397-04-27","2018-07-18","0.00371131189353946","0.886587036242039","1.31144732932035"
"148","1397-04-30","2018-07-21","-0.480303563068318","0.876011292607814","1.30500347410025"
"149","1397-04-31","2018-07-22","-0.493078069809094","0.880595568524486","1.30264837279438"
"150","1397-05-01","2018-07-23","0.158076484353487","0.883938849884743","1.30141385802019"
"151","1397-05-02","2018-07-24","0.242335233967239","0.88490634522004","1.30211171904531"
"152","1397-05-03","2018-07-25","-0.372198812705271","0.885842098252859","1.30842127579005"
"153","1397-05-04","2018-07-26","0","0.874792397620552","1.29680524236425"
"154","1397-05-05","2018-07-27","0","0.874150170426523","1.29828066006729"
"155","1397-05-06","2018-07-28","-2.78958445076984","0.873062960349702","1.30006449329079"
"156","1397-05-07","2018-07-29","-1.74938962791273","0.883862980819557","1.3412151689746"
"157","1397-05-08","2018-07-30","-2.52142693623973","0.895557941905525","1.34843762527693"
"158","1397-05-09","2018-07-31","-3.71071391755269","0.90733842932926","1.37111955345355"
"159","1397-05-10","2018-08-01","-2.26653436624229","0.914056914681976","1.43573401797873"
"160","1397-05-13","2018-08-04","-0.324117800507828","0.926290091793729","1.44714529560706"
"161","1397-05-14","2018-08-05","-3.23942286425538","0.928238354516582","1.44396376052169"
"162","1397-05-15","2018-08-06","-3.72903545534502","0.937700414955767","1.48010137877405"
"163","1397-05-16","2018-08-07","-0.191898009042291","0.904783187094658","1.53169519442476"
"164","1397-05-17","2018-08-08","1.55623911337521","0.910022324999764","1.52933053749142"
"165","1397-05-20","2018-08-11","1.92517212997387","1.00817642866768","1.56595872016313"
"166","1397-05-21","2018-08-12","-0.686017482120427","1.07466904386645","1.60774544807106"
"167","1397-05-22","2018-08-13","1.06740077751137","1.07836826961613","1.6013287500918"
"168","1397-05-23","2018-08-14","-1.853972001636","1.11187597768613","1.62101047232467"
"169","1397-05-24","2018-08-15","0.344906284659352","1.11996373767003","1.61689490044672"
"170","1397-05-27","2018-08-18","-0.808285831221944","1.12421732269776","1.62044125291877"
"171","1397-05-28","2018-08-19","-2.12050040881788","1.12536236244081","1.6096550822298"
"172","1397-05-29","2018-08-20","-2.00288390920011","1.22113297622224","1.60057048874787"
"173","1397-05-30","2018-08-21","0.118474301542904","1.20668994238122","1.60177741874077"
"174","1397-06-03","2018-08-25","0.415145479752077","1.2001789239246","1.60521682027804"
"175","1397-06-04","2018-08-26","-1.62898344697542","1.16764223558397","1.59603232296797"
"176","1397-06-05","2018-08-27","-1.23820209797252","1.16138964093191","1.59135547668718"
"177","1397-06-06","2018-08-28","2.55778536191205","1.16289849013772","1.58697264507839"
"178","1397-06-07","2018-08-29","-0.515246457556273","1.38487257393422","1.67226611762"
"179","1397-06-10","2018-09-01","0.996199144355536","1.38414108678464","1.66861507913808"
"180","1397-06-11","2018-09-02","1.80414685275796","1.41788503294024","1.68992073951328"
"181","1397-06-12","2018-09-03","-1.17628773290033","1.53221271158728","1.73720746806406"
"182","1397-06-13","2018-09-04","-1.99536999186076","1.51427549395818","1.73402175134634"
"183","1397-06-14","2018-09-05","0.195576381355878","1.49792031202368","1.73376951346557"
"184","1397-06-17","2018-09-08","-1.38062334422298","1.49038253901093","1.7376199989729"
"185","1397-06-18","2018-09-09","-1.84896443212033","1.49466405800735","1.72413228874941"
"186","1397-06-19","2018-09-10","-3.29473422903845","1.49402526142082","1.7116898119984"
"187","1397-06-20","2018-09-11","-1.06836374767276","1.45031502839234","1.73925777562879"
"188","1397-06-21","2018-09-12","-4.27118521148238","1.47452339979509","1.72415284597223"
"189","1397-06-24","2018-09-15","-1.9529946173396","1.42177580715369","1.76217273896599"
"190","1397-06-25","2018-09-16","1.53525916756347","1.41876009808362","1.74980021925883"
"191","1397-06-26","2018-09-17","-1.5053405516678","1.49208268493976","1.77782813319737"
"192","1397-06-27","2018-09-18","0.471274547694023","1.48653708915818","1.76845545378768"
"193","1397-06-31","2018-09-22","-2.01946731503426","1.48188953652015","1.77694473179803"
"194","1397-07-01","2018-09-23","-2.78504276724849","1.48598586592443","1.76513097521304"
"195","1397-07-02","2018-09-24","-2.12931872766156","1.4346783720638","1.7499126032229"
"196","1397-07-03","2018-09-25","-3.49263408012384","1.44186903082049","1.73853506589507"
"197","1397-07-04","2018-09-26","-3.3879866033951","1.44680544416912","1.75551311601947"
"198","1397-07-07","2018-09-29","-3.6796177702362","1.46791209766357","1.76739274873939"
"199","1397-07-08","2018-09-30","-4.02548297571439","1.44715824967113","1.7695654166232"
"200","1397-07-09","2018-10-01","-0.19263457985943","1.49189256765477","1.77813361932869"
"201","1397-07-10","2018-10-02","3.76382964916999","1.43969454315081","1.77076117595287"
"202","1397-07-11","2018-10-03","1.44462915206063","1.66065369987478","1.90792987281701"
"203","1397-07-14","2018-10-06","0.797581359599775","1.69805967286945","1.93169896726158"
"204","1397-07-15","2018-10-07","4.25345790658049","1.76762913607252","1.94314979607891"
"205","1397-07-16","2018-10-08","0.701870232968815","2.15091612377431","2.1049198956984"
"206","1397-07-17","2018-10-09","-3.18092751235497","2.13732679314866","2.12438655071676"
"207","1397-07-18","2018-10-10","-0.0929080191840015","1.97904446150805","2.12482269382912"
"208","1397-07-21","2018-10-13","3.36092402608656","1.9784700415926","2.12652845988541"
"209","1397-07-22","2018-10-14","0.11810460088526","2.14100261294127","2.23540960293021"
"210","1397-07-23","2018-10-15","-3.24994650303587","2.13842953705217","2.24435959355699"
"211","1397-07-24","2018-10-16","-1.22862376964807","2.15206914383905","2.24672714244987"
"212","1397-07-25","2018-10-17","-0.0519461783667907","2.18205757194683","2.23534819240116"
"213","1397-07-28","2018-10-20","-3.04014019982084","2.17514563012049","2.23706429596576"
"214","1397-07-29","2018-10-21","-0.456174613288773","2.46686298142352","2.23269069103686"
"215","1397-07-30","2018-10-22","0.879658731307664","2.17817633442855","2.22796613419543"
"216","1397-08-01","2018-10-23","1.31881612637166","2.41274823568347","2.24522431317123"
"217","1397-08-02","2018-10-24","2.32485775833915","2.22773307691738","2.27671333783372"
"218","1397-08-05","2018-10-27","1.23296476406107","2.49523889217435","2.34122778041228"
"219","1397-08-06","2018-10-28","-0.993475743583083","2.33448305330118","2.36370244427453"
"220","1397-08-07","2018-10-29","-1.42513097811037","2.34293683206426","2.35161974279375"
"221","1397-08-09","2018-10-31","-0.0806357501190291","2.51799307924415","2.33711699246652"
"222","1397-08-12","2018-11-03","-0.044436436318307","2.51297483237178","2.3384542836661"
"223","1397-08-13","2018-11-04","0.289436434649382","2.35119125765846","2.34303461220935"
"224","1397-08-14","2018-11-05","-0.676261381932264","2.52994659897648","2.34850909510171"
"225","1397-08-15","2018-11-06","-0.509452161035462","2.51243744234488","2.34150680812244"
"226","1397-08-19","2018-11-10","0.470743278220986","2.51963501480328","2.33224512745332"
"227","1397-08-20","2018-11-11","1.95281944678882","2.52516307086859","2.33927188045995"
"228","1397-08-21","2018-11-12","-0.85064445912657","2.55883905834271","2.39241476166516"
"229","1397-08-22","2018-11-13","-0.547584599687667","2.56945720595862","2.38974586875392"
"230","1397-08-23","2018-11-14","0.666967600418289","2.39802479941792","2.38346527569827"
"231","1397-08-26","2018-11-17","1.75995691564701","2.38885641059228","2.40620137796941"
"232","1397-08-27","2018-11-18","2.98656898075826","2.62956627147763","2.45601688254454"
"233","1397-08-28","2018-11-19","-1.29307285611233","2.5452086238622","2.54558647772192"
"234","1397-08-29","2018-11-20","-0.36460171560222","2.52357850280177","2.54090438138071"
"235","1397-08-30","2018-11-21","0.423373422785644","2.76431839622434","2.54371578800393"
"236","1397-09-03","2018-11-24","2.57117091247512","2.50014629108663","2.55351218234492"
"237","1397-09-05","2018-11-26","2.83653451362866","2.55814235546095","2.58844469317395"
"238","1397-09-06","2018-11-27","-0.441343830840246","2.60755219472405","2.61833572538032"
"239","1397-09-07","2018-11-28","2.07136772367438","2.60925209473812","2.61567497768604"
"240","1397-09-10","2018-12-01","2.42161797310807","2.58200253387365","2.59889218273768"
"241","1397-09-11","2018-12-02","-2.033988576353","2.66303060791093","2.66477814311623"
"242","1397-09-12","2018-12-03","-1.92203107835844","2.6614494033468","2.66403941850389"
"243","1397-09-13","2018-12-04","0.363066017190761","2.65424010553209","2.65702171471209"
"244","1397-09-14","2018-12-05","-0.696655289353565","2.63686095173306","2.6384783994805"
"245","1397-09-17","2018-12-08","-0.133615516880781","2.6424982628178","2.62904702273096"
"246","1397-09-18","2018-12-09","0.114978885298989","2.90047761380958","2.62735414869497"
"247","1397-09-19","2018-12-10","-0.0147989662561798","2.62588946411992","2.60646465596189"
"248","1397-09-20","2018-12-11","0.40876428554526","2.62214309218365","2.59790439927156"
"249","1397-09-21","2018-12-12","0.532531022169991","2.61558329764191","2.59110615440052"
"250","1397-09-24","2018-12-15","0.525228743374839","2.61967656875646","2.59983426289757"
"251","1397-09-25","2018-12-16","1.70319941531947","2.62155170415502","2.60353082294178"
"252","1397-09-26","2018-12-17","1.21833908134814","2.65546245369375","2.63837984600198"
"253","1397-09-27","2018-12-18","0.378493397674617","2.66745677592776","2.66575696438482"
"254","1397-09-28","2018-12-19","1.94353348914156","2.66302440258899","2.6764888829885"
"255","1397-10-01","2018-12-22","0.986829463933958","2.89794167440165","2.71528244654088"
"256","1397-10-02","2018-12-23","-1.37726787575847","2.70809661319223","2.72855827232324"
"257","1397-10-03","2018-12-24","-0.503028327432098","2.71472243275152","2.72343886174662"
"258","1397-10-04","2018-12-25","0.339467108086211","2.7200387299762","2.71816509175734"
"259","1397-10-05","2018-12-26","-0.947013044686074","2.71750297546804","2.72294804075659"
"260","1397-10-08","2018-12-29","-1.46003269593304","2.7136297708006","2.71657240064155"
"261","1397-10-09","2018-12-30","-0.332708751109756","2.71990042072003","2.7161856673565"
"262","1397-10-10","2018-12-31","-0.0591853326898928","2.70352074593377","2.71630208324126"
"263","1397-10-11","2019-01-01","-0.269454303391647","2.69541001844261","2.70055014430693"
"264","1397-10-12","2019-01-02","0.583691857047342","2.68488014824803","2.70204039859026"
"265","1397-10-15","2019-01-05","-0.129500589981468","2.68358037442832","2.71384579027294"
"266","1397-10-16","2019-01-06","-0.104471954690233","2.67419391089963","2.70343274895763"
"267","1397-10-17","2019-01-07","-0.647593080738673","2.66750358783511","2.68180029031937"
"268","1397-10-18","2019-01-08","-1.00745341368977","2.67137335969921","2.67839855463928"
"269","1397-10-19","2019-01-09","-0.524459180105019","2.65557139741547","2.64258563367031"
"270","1397-10-22","2019-01-12","-0.0609535519462412","2.90550932545188","2.5981237166445"
"271","1397-10-23","2019-01-13","0.264765561650826","2.61214718591776","2.60331730863135"
"272","1397-10-24","2019-01-14","-0.123089949567401","2.59804961916837","2.58889736843378"
"273","1397-10-25","2019-01-15","-0.45380564271138","2.96874325146468","2.59329432465595"
"274","1397-10-26","2019-01-16","-0.0903212810294818","2.96163045495108","2.5843464547291"
"275","1397-10-29","2019-01-19","-0.323218743850084","2.99066998024312","2.58974465724378"
"276","1397-10-30","2019-01-20","0.335236737034705","2.98344877005553","2.59002836283355"
"277","1397-11-01","2019-01-21","2.23088953634516","2.55480926811702","2.59838662404081"
"278","1397-11-02","2019-01-22","-0.544149227721569","2.61463063217309","2.64543844615446"
"279","1397-11-03","2019-01-23","-0.0830093132289988","2.61688347755954","2.63530357831859"
"280","1397-11-06","2019-01-26","0.284802772817905","2.60439350122457","2.64012293950332"
"281","1397-11-07","2019-01-27","1.03906117880772","2.59505257268418","2.65006520317926"
"282","1397-11-08","2019-01-28","0.611199964418319","2.53315031293555","2.6074970603186"
"283","1397-11-09","2019-01-29","-0.209268910566962","2.53406043998288","2.62045000300882"
"284","1397-11-10","2019-01-30","-0.0885635445104782","2.52145071134197","2.60262176833781"
"285","1397-11-13","2019-02-02","0.274558715758388","2.47779282998913","2.56592111193086"
"286","1397-11-14","2019-02-03","1.57639862945338","2.46880974721943","2.57593013223194"
"287","1397-11-15","2019-02-04","-0.436717222455307","2.48903476743846","2.60801048775963"
"288","1397-11-16","2019-02-05","-0.22140200127243","2.49164105778028","2.60187737254012"
"289","1397-11-17","2019-02-06","-0.0891680453818822","2.48093896945057","2.6055054072629"
"290","1397-11-21","2019-02-10","0.0424600728706537","2.46668168822316","2.6078716582835"
"291","1397-11-23","2019-02-12","0.312791086820852","2.45129326242447","2.58979205312279"
"292","1397-11-24","2019-02-13","0.42025650837747","2.44290922745558","2.59881437421286"
"293","1397-11-27","2019-02-16","0.125435574246957","2.43845004594813","2.55484218854214"
"294","1397-11-28","2019-02-17","0.612000686942338","2.42271513800052","2.55541426349505"
"295","1397-11-29","2019-02-18","-0.351659138955185","2.39256918276285","2.5363188603542"
"296","1397-11-30","2019-02-19","-0.434522222870903","2.38101406603363","2.53627221334794"
"297","1397-12-01","2019-02-20","-1.32671720091402","2.3806751077083","2.52742727376829"
"298","1397-12-04","2019-02-23","-2.95199335410903","2.37741311196038","2.52199393720735"
"299","1397-12-05","2019-02-24","-1.06722789423799","2.37735129856408","2.52539365708688"
"300","1397-12-06","2019-02-25","-0.458681806354022","2.37231620745026","2.51774505045476"
"301","1397-12-07","2019-02-26","1.25574113696487","2.90469822473802","2.4822347435653"
"302","1397-12-08","2019-02-27","-0.353265280009296","2.879715824845","2.46955237272359"
"303","1397-12-11","2019-03-02","0.561055194707016","2.85074058258789","2.42237493177257"
"304","1397-12-12","2019-03-03","-0.0440371890224611","2.39757034631938","2.36614676808766"
"305","1397-12-13","2019-03-04","0.124193269427764","2.3959970044517","2.36707219232091"
"306","1397-12-14","2019-03-05","1.00664126178245","2.24867400160915","2.25265652770824"
"307","1397-12-15","2019-03-06","-0.143629398219858","2.23153987224031","2.24249026160032"
"308","1397-12-18","2019-03-09","-0.11048551523416","2.21787988259123","2.23104927086254"
"309","1397-12-19","2019-03-10","-0.893562972469297","2.41872920289278","2.07911485456998"
"310","1397-12-20","2019-03-11","-1.74852778602901","2.42106219517185","2.06720663053259"
"311","1397-12-21","2019-03-12","-0.321044223336209","2.39825390461607","2.03291944660204"
"312","1397-12-22","2019-03-13","-0.715557854412019","2.39678963008354","2.03158343269748"
"313","1397-12-25","2019-03-16","-1.18117857978195","2.23934478299419","1.92170396437676"
"314","1397-12-26","2019-03-17","-0.813396350785567","2.23196131731071","1.91927396852097"
"315","1397-12-27","2019-03-18","-1.93811669141084","1.95212744061358","1.87180604908201"
"316","1397-12-28","2019-03-19","-1.55706910973503","1.94879832843919","1.88146786511967"
"317","1398-01-05","2019-03-25","-0.299117123962489","1.95998514577892","1.88479769892346"
"318","1398-01-06","2019-03-26","-0.318753827032836","1.96936681741774","1.84399702833914"
"319","1398-01-07","2019-03-27","-0.983100496848444","1.96737285087962","1.84443895399306"
"320","1398-01-10","2019-03-30","-2.07998550134523","1.95860312818781","1.8290666196289"
"321","1398-01-11","2019-03-31","0.0414958924212172","1.92704180992806","1.81599306200767"
"322","1398-01-17","2019-04-06","-0.674743816807499","1.83943931831439","1.75415737203454"
"323","1398-01-18","2019-04-07","-0.821286949723543","1.80843015859787","1.72703465354084"
"324","1398-01-19","2019-04-08","-0.275575444410592","1.80655535469272","1.72646854301073"
"325","1398-01-20","2019-04-09","-0.966874796314698","1.79511855565468","1.72349079280578"
"326","1398-01-21","2019-04-10","-1.84873557370668","1.80601263205709","1.72149311976961"
"327","1398-01-24","2019-04-13","-0.629220871363145","1.8166119077658","1.72828725594136"
