"","","","Loss","VaRGld","VaRNor"
"1","1396-09-18","2017-12-09","-0.0747314886426764","0.243687097274325","0.324219517994264"
"2","1396-09-19","2017-12-10","-0.042334031490121","0.243719506654254","0.324367408929302"
"3","1396-09-20","2017-12-11","-0.386865035583028","0.243045112878785","0.326217928309379"
"4","1396-09-21","2017-12-12","-1.16897020331397","0.24494339458668","0.325465272145585"
"5","1396-09-22","2017-12-13","-0.704419934567468","0.24300193592029","0.344313300380239"
"6","1396-09-23","2017-12-14","0.000107199922005918","0.245315854076876","0.34700296972743"
"7","1396-09-24","2017-12-15","0","0.245838147515835","0.347416482360361"
"8","1396-09-25","2017-12-16","-1.40808117069469","0.246164934103283","0.349799476117496"
"9","1396-09-26","2017-12-17","-1.04550151598719","0.244134084970149","0.374083472795098"
"10","1396-09-27","2017-12-18","0.129057194009974","0.245995064441904","0.383068620865143"
"11","1396-09-28","2017-12-19","-0.118491859698899","0.25061535784579","0.386644732849898"
"12","1396-09-29","2017-12-20","0.0858193074934732","0.248589733216502","0.38761145355722"
"13","1396-10-02","2017-12-23","-1.35959740917304","0.249230082459177","0.390867629163925"
"14","1396-10-03","2017-12-24","-0.734057579941449","0.24955886180732","0.41272692211725"
"15","1396-10-04","2017-12-25","-0.846510476119455","0.251771687754229","0.413272004560753"
"16","1396-10-05","2017-12-26","0.209352118154271","0.252802985400714","0.417446206787627"
"17","1396-10-06","2017-12-27","0.258707281896164","0.259074627327568","0.425595227176829"
"18","1396-10-09","2017-12-30","0.704936790028476","0.266103068542523","0.429395384940041"
"19","1396-10-10","2017-12-31","1.71179692610455","0.30245720053308","0.453326511205574"
"20","1396-10-11","2018-01-01","-0.674145560333095","0.525996772338009","0.540078249315756"
"21","1396-10-12","2018-01-02","-0.034606553454708","0.525883317476495","0.535561838471677"
"22","1396-10-13","2018-01-03","0.324503616693939","0.524678682728015","0.531498754898525"
"23","1396-10-16","2018-01-06","-0.354735577092846","0.531106474761348","0.54044647978183"
"24","1396-10-17","2018-01-07","0.0371938781919212","0.532983984393137","0.535093384685213"
"25","1396-10-18","2018-01-08","-0.101782764918745","0.538494335589715","0.536227060553309"
"26","1396-10-19","2018-01-09","0.19045972205145","0.532070942167826","0.537935494660878"
"27","1396-10-20","2018-01-10","-0.0381625615348824","0.536656889861539","0.544125670628118"
"28","1396-10-23","2018-01-13","-0.458060251138548","0.533049784788482","0.541344235687328"
"29","1396-10-24","2018-01-14","-0.620152707571364","0.541419810221971","0.538091829587972"
"30","1396-10-25","2018-01-15","-0.733097990180553","0.535869194754448","0.536182174866324"
"31","1396-10-26","2018-01-16","-0.664393418045073","0.536617677295657","0.535307246833348"
"32","1396-10-27","2018-01-17","-0.330700320218824","0.535637956105082","0.535696991575871"
"33","1396-10-30","2018-01-20","0.107514548334997","0.537127927612503","0.533459812539085"
"34","1396-11-01","2018-01-21","0.605163688581456","0.537132760940288","0.536482594291568"
