"","","","Loss","VaRGld","VaRNor"
"1","1400-10-29","1/19/2022","-0.268259787510416","2.34748760703688","2.32879870136086"
"2","1400-11-02","1/22/2022","-0.18796700779955","2.34970048635956","2.32737586132708"
"3","1400-11-03","1/23/2022","1.99258552635158","2.34385852350085","2.319973015351"
"4","1400-11-04","1/24/2022","1.75060030722509","2.56636779503595","2.36077278766485"
"5","1400-11-05","1/25/2022","2.19288430411861","2.6008653787064","2.38670747777386"
"6","1400-11-06","1/26/2022","-1.75951227015378","2.62760316813583","2.42934684476688"
"7","1400-11-09","1/29/2022","-2.3813321511696","2.4930689271283","2.35246587317468"
"8","1400-11-10","1/30/2022","-2.01704207294338","2.46768081047999","2.33528972608352"
"9","1400-11-11","1/31/2022","-0.77322368059729","2.45657052787145","2.34095017519492"
"10","1400-11-12","2/1/2022","-0.509652438980801","2.45528054359413","2.3380869947712"
"11","1400-11-13","2/2/2022","0.00557178953144444","2.47769056734394","2.33347346933106"
"12","1400-11-16","2/5/2022","-0.249434744965704","2.47008854463585","2.33411824904201"
"13","1400-11-17","2/6/2022","1.72913152584329","2.49558244575848","2.31862370476723"
"14","1400-11-18","2/7/2022","0.593191498525769","2.49196298009176","2.35125282843759"
"15","1400-11-19","2/8/2022","-0.517143713507551","2.47550355661262","2.35953668814398"
"16","1400-11-20","2/9/2022","-0.240500452050973","2.39949381011958","2.29306955874557"
"17","1400-11-23","2/12/2022","0.00766288955631467","2.41727716039214","2.27758255068051"
"18","1400-11-24","2/13/2022","0.6301050211027","2.39938919828845","2.27602837986597"
"19","1400-11-25","2/14/2022","-0.572653586140426","2.39891106692355","2.27669952043629"
"20","1400-11-27","2/16/2022","0.0711530867414822","2.33928762719302","2.21200186024994"
"21","1400-11-30","2/19/2022","0.0172034478129746","2.32736840410859","2.16842384603821"
"22","1400-12-01","2/20/2022","0.616948084884505","2.33467982300958","2.17117277168508"
"23","1400-12-02","2/21/2022","-0.57003298576408","2.2551338812667","2.11391430820714"
"24","1400-12-03","2/22/2022","-0.25612670785975","2.25792926274943","2.1074008562549"
"25","1400-12-04","2/23/2022","-0.266922135060454","2.26362026490408","2.08503969720421"
"26","1400-12-07","2/26/2022","0.423113573373435","2.26361995086259","2.08459373862367"
"27","1400-12-08","2/27/2022","0.279303200289327","2.26276319620008","2.08969123935138"
"28","1400-12-09","2/28/2022","-0.206268404924081","2.27136485878807","2.09481609561697"
"29","1400-12-11","3/2/2022","0.058007316915365","2.27920351844958","2.07130683911031"
"30","1400-12-14","3/5/2022","-1.36374832111059","2.27420774456939","2.07315149657317"
"31","1400-12-15","3/6/2022","-1.81709209578766","2.26917534609871","2.07730888687597"
"32","1400-12-16","3/7/2022","-1.52380816669808","2.24881527855875","2.08644575488394"
