Jdate,Loss,VaRGld,VaRNor
1396-09-11,-0.15840055,0.233030317,0.320080815
1396-09-12,0.378494651,0.233313777,0.31971642
1396-09-13,0.016713545,0.249092494,0.329581058
1396-09-14,-0.170961999,0.245227889,0.327020628
1396-09-18,-0.074731489,0.243687097,0.324219518
1396-09-19,-0.042334031,0.243719507,0.324367409
1396-09-20,-0.386865036,0.243045113,0.326217928
1396-09-21,-1.168970203,0.244943395,0.325465272
1396-09-22,-0.704419935,0.243001936,0.3443133
1396-09-23,0.0001072,0.245315854,0.34700297
1396-09-24,0,0.245838148,0.347416482
1396-09-25,-1.408081171,0.246164934,0.349799476
1396-09-26,-1.045501516,0.244134085,0.374083473
1396-09-27,0.129057194,0.245995064,0.383068621
1396-09-28,-0.11849186,0.250615358,0.386644733
1396-09-29,0.085819307,0.248589733,0.387611454
1396-10-02,-1.359597409,0.249230082,0.390867629
1396-10-03,-0.73405758,0.249558862,0.412726922
1396-10-04,-0.846510476,0.251771688,0.413272005
1396-10-05,0.209352118,0.252802985,0.417446207
1396-10-06,0.258707282,0.259074627,0.425595227
1396-10-09,0.70493679,0.266103069,0.429395385
1396-10-10,1.711796926,0.302457201,0.453326511
1396-10-11,-0.67414556,0.525996772,0.540078249
1396-10-12,-0.034606553,0.525883317,0.535561838
1396-10-13,0.324503617,0.524678683,0.531498755
1396-10-16,-0.354735577,0.531106475,0.54044648
1396-10-17,0.037193878,0.532983984,0.535093385
1396-10-18,-0.101782765,0.538494336,0.536227061
1396-10-19,0.190459722,0.532070942,0.537935495
1396-10-20,-0.038162562,0.53665689,0.544125671
1396-10-23,-0.458060251,0.533049785,0.541344236
1396-10-24,-0.620152708,0.54141981,0.53809183
1396-10-25,-0.73309799,0.535869195,0.536182175
1396-10-26,-0.664393418,0.536617677,0.535307247
1396-10-27,-0.33070032,0.535637956,0.535696992
1396-10-30,0.107514548,0.537127928,0.533459813
1396-11-01,0.605163689,0.537132761,0.536482594
1396-11-02,-0.41392108,0.570799901,0.556202802
1396-11-03,-0.602772264,0.572723421,0.555250359
1396-11-04,-0.299275482,0.569580605,0.555736944
1396-11-07,0.167540275,0.572334514,0.552356271
1396-11-08,-0.059365097,0.57199255,0.557537544
1396-11-09,0.371257996,0.571060913,0.559722815
1396-11-10,0.494222021,0.586247997,0.568390074
1396-11-11,0.431438155,0.604498418,0.582613001
1396-11-14,0.423483022,0.623829958,0.590765488
1396-11-15,-0.091342937,0.631366178,0.601900218
1396-11-16,-0.23018613,0.631358896,0.60371642
1396-11-17,0.108184802,0.63419093,0.600097124
1396-11-18,-0.37935663,0.612967476,0.58994552
1396-11-21,0.527330549,0.61307205,0.588466884
1396-11-23,-0.14511462,0.635183566,0.602819212
1396-11-24,-0.182218917,0.639215093,0.601921408
1396-11-25,-0.249018714,0.658589554,0.60199274
1396-11-28,-0.083037954,0.635722907,0.602162407
1396-11-29,0.119954554,0.636204098,0.6037323
1396-11-30,0.166038842,0.642580888,0.600587936
1396-12-02,-0.008965604,0.511483553,0.605838236
1396-12-05,-0.019965956,0.51070279,0.60513099
1396-12-06,0.098544214,0.638995712,0.600284742
1396-12-07,-0.01865646,0.639361583,0.600540283
1396-12-08,-0.002344555,0.638465413,0.601845614
1396-12-09,0.141893553,0.633869971,0.604094669
1396-12-12,0.586639846,0.623939175,0.599151913
1396-12-13,0.035328613,0.652026629,0.610369693
1396-12-14,0.176521827,0.649860351,0.611986086
1396-12-15,0.19734924,0.638239773,0.605883099
1396-12-16,0.134845647,0.610386124,0.594535789
1396-12-19,0.274793044,0.60513844,0.597535708
1396-12-20,0.587782273,0.608196919,0.604489922
1396-12-21,-0.172716287,0.635082539,0.619060451
1396-12-22,-0.124358161,0.514746612,0.618997757
1396-12-23,0.821731063,0.514571229,0.619257017
1396-12-26,-0.053792926,0.68737066,0.644489301
1396-12-27,-0.253191279,0.687598696,0.644786487
1396-12-28,-0.489617577,0.689347566,0.643935967
1397-01-05,-0.141140501,0.690829912,0.64147349
1397-01-06,-0.066142917,0.54863071,0.64065451
1397-01-07,-0.110727701,0.693577858,0.637355581
1397-01-08,-0.353630764,0.691834856,0.63813085
1397-01-14,-0.151836211,0.693595376,0.63699384
1397-01-15,-0.066310883,0.692876607,0.637887045
1397-01-18,0.382302767,0.540453703,0.639028702
1397-01-19,0.454223781,0.552274279,0.647458024
1397-01-20,-0.805847785,0.565529147,0.65881859
1397-01-21,0.3844875,0.568894714,0.661752779
1397-01-22,0.477634498,0.57930058,0.66959467
